Date,Open,High,Low,Close
25-10-2022,19344.96484,20348.41211,19261.44727,20095.85742
26-10-2022,20092.23633,20938.13477,20076.11719,20770.44141
27-10-2022,20772.80273,20854.04492,20255.37305,20285.83594
28-10-2022,20287.95703,20724.98047,20086.06836,20595.35156
29-10-2022,20595.10352,20988.39453,20566.48438,20818.47656
30-10-2022,20817.98242,20917.00586,20547.46289,20635.60352
31-10-2022,20633.69531,20795.32031,20287.45898,20495.77344
01-11-2022,20494.89844,20647.28906,20359.8457,20485.27344
02-11-2022,20482.95898,20742.81055,20087.13477,20159.50391
03-11-2022,20162.68945,20382.0957,20086.24023,20209.98828
04-11-2022,20208.76953,21209.56055,20188.01953,21147.23047
05-11-2022,21144.83203,21446.88672,21097.63477,21282.69141
06-11-2022,21285.05664,21345.37695,20920.19141,20926.48633
07-11-2022,20924.62109,21053.24609,20489.97266,20602.81641
08-11-2022,20600.67188,20664.60742,17603.54492,18541.27148
09-11-2022,18543.76172,18590.45898,15682.69238,15880.78027
10-11-2022,15883.1582,18054.3125,15834.01856,17586.77148
11-11-2022,17583.25195,17650.94336,16543.48242,17034.29297
12-11-2022,17036.875,17066.67578,16651.77539,16799.18555
13-11-2022,16799.72266,16920.76563,16320.63477,16353.36523
14-11-2022,16352.02832,17109.32422,15872.94141,16618.19922
15-11-2022,16617.48438,17051.96289,16542.55078,16884.61328
16-11-2022,16884.3418,16960.29492,16430.11133,16669.43945
17-11-2022,16670.42578,16726.43945,16460.68359,16687.51758
18-11-2022,16687.91211,16947.05859,16564.61133,16697.77734
19-11-2022,16696.2207,16797.87695,16570.41016,16711.54688
20-11-2022,16712.91992,16746.7793,16248.69238,16291.83203
21-11-2022,16291.22363,16291.22363,15599.04688,15787.28418
22-11-2022,15782.30078,16253.04785,15656.60645,16189.76953
23-11-2022,16195.58887,16638.19336,16170.50293,16610.70703
24-11-2022,16611.63672,16771.47461,16501.76758,16604.46484
25-11-2022,16602.26953,16603.31641,16388.4043,16521.8418
26-11-2022,16521.57617,16666.86328,16416.22852,16464.28125
27-11-2022,16463.88281,16594.40625,16437.02539,16444.62695
28-11-2022,16440.22266,16482.93359,16054.53027,16217.32227
29-11-2022,16217.63965,16522.25781,16139.39648,16444.98242
30-11-2022,16445.47656,17190.9375,16445.47656,17168.56641
01-12-2022,17168.00195,17197.49805,16888.38867,16967.13281
02-12-2022,16968.68359,17088.66016,16877.88086,17088.66016
